700,701,701,701,701,701,703,701,701,701,701,701,701,701,701,701,917,701,701,701,701,701,701,701,703,701,701,701,701,701,701,705
756,338,-1,693,-1,-1,731,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,731,-1,-1,-1,693,-1,-1,733
756,-1,-1,-1,-1,-1,731,-1,-1,-1,-1,-1,129,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,731,58,-1,-1,-1,-1,-1,733
756,-1,-1,-1,58,-1,731,-1,644,645,-1,-1,-1,-1,-1,-1,-1,-1,91,92,-1,-1,58,693,731,-1,644,645,-1,-1,-1,733
756,-1,-1,-1,-1,-1,731,-1,672,673,-1,-1,-1,-1,-1,129,-1,-1,119,120,-1,-1,-1,-1,731,-1,672,673,-1,-1,-1,733
756,-1,-1,-1,339,-1,731,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,731,-1,-1,-1,-1,-1,58,733
756,-1,-1,868,869,869,734,-1,-1,58,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,731,-1,129,-1,-1,-1,-1,733
756,-1,-1,-1,-1,-1,129,-1,-1,-1,-1,-1,-1,-1,644,645,-1,-1,127,128,-1,-1,-1,-1,759,-1,-1,-1,-1,129,-1,733
917,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,672,673,693,154,155,181,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,733
756,-1,-1,370,371,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,127,128,182,183,-1,-1,-1,-1,627,-1,627,-1,627,-1,-1,-1,917
756,-1,-1,398,399,-1,-1,-1,-1,-1,-1,-1,-1,-1,154,155,156,157,693,-1,-1,-1,-1,655,-1,655,-1,655,-1,-1,-1,733
756,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,58,182,183,184,185,-1,-1,129,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,733
840,841,841,841,841,841,841,841,841,842,-1,-1,816,813,813,813,813,813,813,814,-1,-1,-1,627,-1,627,-1,627,-1,-1,-1,733
756,-1,-1,129,693,58,-1,-1,-1,-1,-1,-1,789,-1,-1,-1,-1,-1,-1,784,-1,-1,-1,655,-1,655,693,655,-1,644,645,733
756,-1,-1,-1,-1,-1,-1,129,-1,-1,-1,-1,789,-1,-1,-1,-1,-1,-1,784,-1,-1,-1,-1,-1,-1,-1,644,645,672,673,733
756,-1,338,-1,-1,-1,-1,-1,-1,-1,58,-1,789,-1,-1,-1,-1,-1,-1,784,-1,129,-1,-1,-1,-1,-1,672,673,339,-1,733
756,-1,-1,339,-1,-1,-1,-1,-1,-1,-1,-1,789,-1,-1,-1,-1,-1,-1,784,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,733
812,813,813,813,813,813,813,813,813,813,813,813,817,-1,-1,-1,-1,-1,-1,812,813,813,813,813,813,813,813,813,813,813,813,817
